d_5p_del,d_gene,count
12,IGHD6-19*01,1
7,IGHD6-13*01,3
8,IGHD6-13*01,1
10,IGHD3-3*01,1
0,IGHD6-19*01,7
17,IGHD2-15*01,2
7,IGHD4-17*01,1
16,IGHD2-2*03,6
1,IGHD3-3*01,1
6,IGHD7-27*01,4
0,IGHD3-9*01,3
4,IGHD6-25*01,5
0,IGHD2-2*02,8
6,IGHD6-19*01,5
16,IGHD2-15*01,1
7,IGHD6-19*01,1
0,IGHD5-5*01,5
19,IGHD2-15*01,1
16,IGHD2-2*02,1
4,IGHD6-13*01,5
1,IGHD3-3*02,1
14,IGHD3-3*01,1
16,IGHD3-16*02,5
3,IGHD3-3*01,1
2,IGHD3-3*01,1
11,IGHD6-13*01,1
4,IGHD3-10*01,4
9,IGHD5-12*01,4
0,IGHD4-17*01,3
0,IGHD1-7*01,5
10,IGHD6-13*01,1
0,IGHD3-16*02,5
4,IGHD5-12*01,1
5,IGHD3-3*01,2
4,IGHD3-3*01,2
3,IGHD3/OR15-3b*01,1
6,IGHD3-3*02,4
0,IGHD1-1*01,1
3,IGHD4-17*01,8
4,IGHD1-26*01,5
0,IGHD3-3*01,7
3,IGHD4-23*01,2
0,IGHD3-22*01,5
0,IGHD2-2*03,1
