d_3p_del,d_gene,count
3,IGHD6-25*01,1
6,IGHD3-3*01,4
0,IGHD6-19*01,1
7,IGHD2-2*02,6
5,IGHD6-13*01,1
0,IGHD2-15*01,4
6,IGHD5-5*01,1
15,IGHD3-3*01,4
0,IGHD3-9*01,3
0,IGHD2-2*02,1
9,IGHD3-16*02,5
26,IGHD3-16*02,2
1,IGHD6-25*01,4
4,IGHD3-3*02,4
12,IGHD5-5*01,1
5,IGHD5-12*01,5
6,IGHD2-2*02,1
9,IGHD3/OR15-3b*01,1
5,IGHD6-19*01,5
12,IGHD3-10*01,4
0,IGHD4-17*01,12
11,IGHD3-22*01,4
0,IGHD1-7*01,4
9,IGHD2-2*02,1
2,IGHD5-5*01,3
0,IGHD4-23*01,2
9,IGHD3-3*01,8
2,IGHD6-19*01,3
3,IGHD1-26*01,5
12,IGHD3-16*02,1
3,IGHD1-7*01,1
3,IGHD1-1*01,1
3,IGHD6-19*01,5
1,IGHD7-27*01,4
6,IGHD3-3*02,1
9,IGHD2-2*03,1
0,IGHD6-13*01,10
13,IGHD3-22*01,1
11,IGHD3-16*02,2
0,IGHD2-2*03,6
