vd_insertion,d_gene,count
6,IGHD3-3*01,3
8,IGHD3-16*02,3
7,IGHD2-2*02,9
7,IGHD4-17*01,3
5,IGHD3-10*01,3
11,IGHD5-12*01,5
16,IGHD4-17*01,4
5,IGHD6-25*01,5
2,IGHD6-13*01,10
7,IGHD3-10*01,4
14,IGHD3-3*01,2
1,IGHD5-5*01,5
2,IGHD1-26*01,5
9,IGHD6-19*01,5
1,IGHD6-13*01,5
4,IGHD6-19*01,5
0,IGHD3-16*02,6
4,IGHD4-17*01,3
0,IGHD3-3*01,8
2,IGHD6-19*01,2
4,IGHD2-2*03,5
8,IGHD4-23*01,3
10,IGHD3-3*02,5
8,IGHD3-9*01,3
9,IGHD3-22*01,5
5,IGHD2-15*01,5
4,IGHD1-1*01,5
1,IGHD3-10*01,6
0,IGHD3-22*01,1
